CustomerID,Total Orders,Total Revenue,Revenue per Order,Total Shipping Cost,Shipping Cost per Order,First Order,Latest Order,Avg. gap (days),since last order(days),Orders Mon,Orders Tue,Orders Wed,Orders Thurs,Orders Fri,Orders Sat,Orders Sun,Revenue Mon,Revenue Tue,Revenue Wed,Revenue Thurs,Revenue Fri,Revenue Sat,Revenue Sun,Week1 Orders,Week2 Orders,Week3 Orders,Week4 Orders,Week1 Revenue,Week2 Revenue,Week3 Revenue,Week4 Revenue,Orders(12AM-6AM),Orders(6AM-12PM),Orders(12PM-6PM),Orders(6PM-12AM),Revenue(12AM-6AM),Revenue(6AM-12PM),Revenue(12PM-6PM),Revenue(6PM-12AM)
2354,124,"11,986.54",96.67,529.59,4.27,30/12/2016,24/10/2021,14,1,13,13,29,25,19,15,10,"1,287.50","1,054.15","2,842.52","2,133.79","2,051.94","1,496.33","1,120.31",28,42,30,24,"2,685.37","4,299.28","2,592.18","2,409.71",12,61,37,14,"1,067.92","5,674.65","3,916.53","1,327.44"
2361,82,"11,025.96",134.46,97.92,1.19,31/03/2018,24/10/2021,16,1,11,13,10,13,14,10,11,"1,253.08","2,003.25","1,819.75","1,114.83","1,791.86","1,624.34","1,418.85",18,19,19,26,"1,336.09","2,776.02","2,807.66","4,106.19",1,13,24,44,30.25,"3,143.69","2,205.47","5,646.55"
2415,43,"7,259.69",168.83,171.69,3.99,30/11/2017,24/10/2021,33,1,5,4,3,5,5,8,13,698.95,504.97,197.97,"1,182.97",733.96,"1,223.96","2,716.91",9,11,6,17,"2,299.93","1,383.92",713.94,"2,861.90",0,6,12,25,0.00,707.98,"2,560.91","3,990.80"
2427,44,"6,992.27",158.92,92.82,2.11,09/04/2019,24/10/2021,21,1,10,8,5,8,5,3,5,"1,753.95","1,400.23",570.48,"1,154.06",798.07,630.00,685.48,12,15,9,8,"2,317.95","2,417.22",997.02,"1,260.08",0,10,13,21,0.00,"1,908.99","2,025.05","3,058.23"
2456,55,"6,263.44",113.88,179.04,3.26,23/10/2020,24/10/2021,7,1,2,3,8,8,12,10,12,150.98,330.38,"1,090.23",563.63,"1,339.44",956.56,"1,832.22",10,18,21,6,831.14,"1,938.18","2,725.66",768.46,6,9,27,13,501.34,"1,197.83","3,004.77","1,559.50"
2485,49,"5,841.24",119.21,96.84,1.98,26/07/2015,24/10/2021,47,1,6,7,9,8,6,7,6,563.98,601.00,895.48,818.96,929.47,"1,255.87",776.48,11,11,14,13,"1,470.95","1,326.36","1,595.97","1,447.96",0,20,23,6,0.00,"2,482.33","2,759.43",599.48
2519,43,"5,470.27",127.22,128.77,2.99,14/01/2019,24/10/2021,24,1,5,6,3,3,11,7,8,395.70,964.58,588.98,798.97,"1,175.54",517.87,"1,028.63",3,2,16,22,611.49,117.00,"2,042.31","2,699.47",2,0,19,22,47.00,0.00,"2,578.28","2,844.99"
2551,54,"5,200.53",96.31,237.53,4.40,19/11/2019,24/10/2021,13,1,17,5,7,4,5,9,7,"1,612.17",492.45,595.04,458.96,350.15,"1,120.52",571.24,10,19,10,15,983.11,"2,123.54",754.72,"1,339.16",2,22,24,6,273.18,"2,328.21","1,980.99",618.15
2590,19,"4,967.06",261.42,51.91,2.73,03/03/2021,24/10/2021,12,1,4,6,5,2,0,0,2,"1,930.60","1,323.97",533.37,474.19,0.00,0.00,704.93,7,2,9,1,"1,431.95",383.18,"2,588.19",563.74,1,0,8,10,332.19,0.00,"1,673.10","2,961.77"
2640,21,"4,726.38",225.07,63.88,3.04,06/01/2020,24/10/2021,31,1,1,2,9,2,3,1,3,36.00,422.99,"1,732.94",922.48,626.99,333.00,651.98,7,4,5,5,"1,318.95","1,320.48","1,094.98",991.97,4,11,6,0,"1,095.98","1,867.94","1,762.46",0.00
