index,CustomerID,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER,MONDAY_ORDERS,TUESDAY_ORDERS,WEDNESDAY_ORDERS,THURSDAY_ORDERS,FRIDAY_ORDERS,SATURDAY_ORDERS,SUNDAY_ORDERS,MONDAY_REVENUE,TUESDAY_REVENUE,WEDNESDAY_REVENUE,THURSDAY_REVENUE,FRIDAY_REVENUE,SATURDAY_REVENUE,SUNDAY_REVENUE,WEEK1_DAY01_DAY07_ORDERS,WEEK2_DAY08_DAY15_ORDERS,WEEK3_DAY16_DAY23_ORDERS,WEEK4_DAY24_DAY31_ORDERS,WEEK1_DAY01_DAY07_REVENUE,WEEK2_DAY08_DAY15_REVENUE,WEEK3_DAY16_DAY23_REVENUE,WEEK4_DAY24_DAY31_REVENUE,TIME_0000_0600_ORDERS,TIME_0601_1200_ORDERS,TIME_1200_1800_ORDERS,TIME_1801_2359_ORDERS,TIME_0000_0600_REVENUE,TIME_0601_1200_REVENUE,TIME_1200_1800_REVENUE,TIME_1801_2359_REVENUE
0,2354,124,11986.54,96.67,529.59,4.27,2016-12-30,2021-10-24,14.19,1,13,13,29,25,19,15,10,1287.5,1054.15,2842.52,2133.79,2051.94,1496.33,1120.31,28,42,30,24,2685.37,4299.28,2592.18,2409.71,12,61,37,14,1067.92,5674.65,3916.53,1327.44
1,2361,82,11025.96,134.46,97.92,1.19,2018-03-31,2021-10-24,15.89,1,11,13,10,13,14,10,11,1253.08,2003.25,1819.75,1114.83,1791.86,1624.34,1418.85,18,19,19,26,1336.09,2776.02,2807.66,4106.19,1,13,24,44,30.25,3143.69,2205.47,5646.55
2,2415,43,7259.69,168.83,171.69,3.99,2017-11-30,2021-10-24,33.12,1,5,4,3,5,5,8,13,698.95,504.97,197.97,1182.97,733.96,1223.96,2716.91,9,11,6,17,2299.93,1383.92,713.94,2861.9,0,6,12,25,0.0,707.98,2560.91,3990.8
3,2427,44,6992.27,158.92,92.82,2.11,2019-04-09,2021-10-24,21.11,1,10,8,5,8,5,3,5,1753.95,1400.23,570.48,1154.06,798.07,630.0,685.48,12,15,9,8,2317.95,2417.22,997.02,1260.08,0,10,13,21,0.0,1908.99,2025.05,3058.23
4,2456,55,6263.44,113.88,179.04,3.26,2020-10-23,2021-10-24,6.65,1,2,3,8,8,12,10,12,150.98,330.38,1090.23,563.63,1339.44,956.56,1832.22,10,18,21,6,831.14,1938.18,2725.66,768.46,6,9,27,13,501.34,1197.83,3004.77,1559.5
5,2485,49,5841.24,119.21,96.84,1.98,2015-07-26,2021-10-24,46.57,1,6,7,9,8,6,7,6,563.98,601.0,895.48,818.96,929.47,1255.87,776.48,11,11,14,13,1470.95,1326.36,1595.97,1447.96,0,20,23,6,0.0,2482.33,2759.43,599.48
6,2519,43,5470.27,127.22,128.77,2.99,2019-01-14,2021-10-24,23.58,1,5,6,3,3,11,7,8,395.7,964.58,588.98,798.97,1175.54,517.87,1028.63,3,2,16,22,611.49,117.0,2042.31,2699.47,2,0,19,22,47.0,0.0,2578.28,2844.99
7,2551,54,5200.53,96.31,237.53,4.4,2019-11-19,2021-10-24,13.06,1,17,5,7,4,5,9,7,1612.17,492.45,595.04,458.96,350.15,1120.52,571.24,10,19,10,15,983.11,2123.54,754.72,1339.16,2,22,24,6,273.18,2328.21,1980.99,618.15
8,2590,19,4967.06,261.42,51.91,2.73,2021-03-03,2021-10-24,12.37,1,4,6,5,2,0,0,2,1930.6,1323.97,533.37,474.19,0.0,0.0,704.93,7,2,9,1,1431.95,383.18,2588.19,563.74,1,0,8,10,332.19,0.0,1673.1,2961.77
9,2640,21,4726.38,225.07,63.88,3.04,2020-01-06,2021-10-24,31.29,1,1,2,9,2,3,1,3,36.0,422.99,1732.94,922.48,626.99,333.0,651.98,7,4,5,5,1318.95,1320.48,1094.98,991.97,4,11,6,0,1095.98,1867.94,1762.46,0.0
